Utterance,Cluster,processed_queries
πρέπει να έχω πάσο για να βάλω φοιτητικό,,πρέπει πάσο βάλω φοιτητικός
θα ήθελα να κάνω διακανονισμό σε όλο το ληξιπρόθεσμο,,διακανονισμός όλος ληξιπρόθεσμο
θέλω χρόνο για να μιλάω,,χρόνος μιλάως
χρειάζομαι ανανέωση,,χρειάζομαι ανανέωση
τo παραστατικό του σταθερού μου,,παραστατικός σταθερού
τιμές για νέο tablet,,τιμή νέος tablet
να ενημερωθώ σχετικά με το διαθέσιμο υπόλοιπό μου,,ενημερωθώ σχετικά διαθέσιμος υπόλοιπος
να κάνω αποπληρωμή λογαριασμού για το κινητό μου,,αποπληρωμή λογαριασμός κινητό
έχω κάνει αίτηση για φοιτητικό πακέτο,,αίτηση φοιτητικός πακέτο
θέλω να απενεργοποιηθεί,,απενεργοποιηθεί
tethering,,tethering
ραντεβού για νέα σύνδεση,,ραντεβού νέος σύνδεση
να κάνω παράπονο,,παράπονο
θέλω να εξοφλήσω το τηλέφωνό μου,,εξοφλώ τηλέφωνό
να εξοφλήσω το κινητό μου,,εξοφλώ κινητό
λογαριασμός τηλεόρασης,,λογαριασμός τηλεόραση
θέλω να βάλω πιο εύκολο κωδικό στο hotspot μου,,βάλω πιο εύκολος κωδικός σε ο hotspot
αγορά tablet,,αγορά tablet
πώς μπορώ να καταθέσω αίτηση,,πώς μπορώ καταθέσω αίτηση
τον λογαριασμό της τηλεόρασής μου,,λογαριασμός τηλεόραση
αναλυτικό λογαριασμό,,αναλυτικός λογαριασμός
πού μπορώ να βρω πληροφορίες για τα χρέη μου,,πού μπορώ βρω πληροφορία χρέος
πόσα χρήματα χρωστάω συνολικά,,πόσος χρήμα χρωστάω συνολικά
τι χρωστάω,,χρωστάω
έχει να κάνει με διακανονισμό,,διακανονισμός
μπορώ να με πληροφορηθώ πώς μπορεί να γίνει αίτηση,,μπορώ πληροφορηθώ πώς μπορώ γίνομαι αίτηση
να κάνω απενεργοποίηση,,απενεργοποίηση
θα ήθελα να πραγματοποιήσω ανανέωση,,πραγματοποιήσω ανανέωση
πρέπει να μιλήσω με τις πωλήσεις,,πρέπει μιλώ πωλήσεις
θέλω να δω την πλήρη ανάλυση των κλήσεων,,πλήρης ανάλυση κλήσεων
έχω ένα ραντεβού και θέλω να αλλάξω την ώρα,,ένας ραντεβού αλλάξω ώρα
το τηλέφωνό μου έχει καταχωρηθεί ως απόρρητο,,τηλέφωνό καταχωρηθεί ως απόρρητο
θέλω να κάνω διακανονισμό,,διακανονισμός
θέλω υπηρεσίες για το σταθερό μου,,υπηρεσία σταθερός
θέλω να ενεργοποιήσω πρόγραμμα δεδομένων,,ενεργοποιήσω πρόγραμμα δεδομένο
βρήκα μια κλήση από αυτό το τηλέφωνο,,βρήκα ένας κλήση από αυτός τηλέφωνος
να κάνω απόρρητο το τηλέφωνο,,απόρρητο τηλέφωνος
έχω καλέσει για ένα προγραμματισμένο ραντεβού,,καλέσει ένας προγραμματισμένο ραντεβού
ζητώ να μου ενεργοποιήσετε,,ζητώ ενεργοποιήσω
ενημερώστε με για ανάλυση κλήσεων,,ενημερώστε ανάλυση κλήσεων
τι μου προσφέρει το φοιτητικό πακέτο,,προσφέρω φοιτητικός πακέτο
πώς μπορώ να μάθω το συνολικό χρέος μου,,πώς μπορώ μάθω συνολικός χρέος
θέλω να κάνω αποπληρωμή λογαριασμού,,αποπληρωμή λογαριασμός
θέλω να αποπληρώσω την οφειλή μου,,αποπληρώσως οφειλή
από πού μπορώ να μάθω τι χρωστάω,,από πού μπορώ μάθω χρωστάω
θέλω επιδότηση,,επιδότηση
επιθυμώ να δω την πλήρη ανάλυση των κλήσεων,,επιθυμώ πλήρης ανάλυση κλήσεων
επιθυμώ να καταχωρήσω αίτηση,,επιθυμώ καταχωρώ αίτηση
πού μπορώ να αγοράσω κάποιο πρόγραμμα μηνυμάτων,,πού μπορώ αγοράζω κάποιος πρόγραμμα μηνυμάτων
αναφορικά με τον λογαριασμό μου,,αναφορικά λογαριασμός
θα ήθελα να βάλω χρόνο ομιλίας στο κινητό,,βάλω χρόνος ομιλία σε ο κινητό
για μια ανανέωση,,ένας ανανέωση
διακανονισμός ποσού που χρωστάω,,διακανονισμός ποσό χρωστάω
ερώτηση υπόλοιπο,,ερώτηση υπόλοιπος
έχω ανάγκη από βοήθεια,,ανάγκη από βοήθεια
να μάθω τι έχετε σχετικά με απόκρυψη,,μάθω σχετικά απόκρυψη
να ενημερωθώ για το υπόλοιπό μου,,ενημερωθώς υπόλοιπος
επιθυμώ να πληροφορηθώ για τη διαδικασία που μπορεί να γίνει ώστε να καταχωρήσω αίτηση,,επιθυμώ πληροφορηθώ διαδικασία μπορώ γίνομαι ώστε καταχωρώ αίτηση
έχω επικοινωνήσει για ένα ραντεβού,,επικοινωνώ ένας ραντεβού
να μάθω για τις βιντεοκλήσεις,,μάθω βιντεοκλήσεις
θα με ενδιέφερε ο αναλυτικός λογαριασμός,,ενδιέφερε αναλυτικός λογαριασμός
αναλυτική κατάσταση λογαριασμού,,αναλυτικός κατάσταση λογαριασμός
χρειάζομαι ενημέρωση,,χρειάζομαι ενημέρωση
θέλω να μιλήσω με τις πωλήσεις,,μιλώ πωλήσεις
θέλω να αγοράσω χρόνο ομιλίας προς όλους,,αγοράζω χρόνος ομιλία προς όλος
θα ήθελα να κάνω αίτηση,,αίτηση
να δηλώσω το κινητό μου ως απόρρητο,,δηλώνω κινητό ως απόρρητος
αλλαγή ραντεβού σύνδεσης νέας γραμμής,,αλλαγή ραντεβού σύνδεση νέος γραμμή
επιθυμώ να καταχωρήσω αίτημα,,επιθυμώ καταχωρώ αίτημα
θέλω να μάθω για την αποπληρωμή λογαριασμού,,μάθω αποπληρωμή λογαριασμός
