Lemmatized_Word,Original_Words
πάσος,['πάσο']
βάγω,['βάλω']
φοιτητικός,"['φοιτητικά', 'φοιτητικό']"
διακανονισμός,"['διακανονισμό', 'διακανονισμού', 'διακανονισμούς']"
ληξιπρόθεσμος,['ληξιπρόθεσμο']
χρόνος,"['χρόνο', 'χρόνου']"
παράστατικός,"['παραστατικό', 'παραστατικού']"
σταθερός,"['σταθερού', 'σταθερά', 'σταθερό']"
τιμή,['τιμές']
νέος,"['νέα', 'νέας', 'νέο', 'νέου']"
ενημερώνω,"['ενημερωθώ', 'ενημερώστε', 'ενημερώσετε', 'ενημερωθεί']"
διαθέσιμος,"['διαθέσιμο', 'διαθέσιμες']"
υπόλοιπος,"['υπόλοιπό', 'υπόλοιπο', 'υπόλοιπα']"
λογαριασμός,"['λογαριασμό', 'λογαριασμού', 'λογαριασμών']"
απενεργοποιώ,"['απενεργοποιήσω', 'απενεργοποιηθεί', 'απενεργοποιήσετε']"
ραντέβος,['ραντεβού']
εξοφλώ,['εξοφλήσω']
τήλεφος,['τηλέφων']
τηλεόραση,"['τηλεόρασης', 'τηλεόρασής']"
εύκολος,['εύκολο']
κωδικός,['κωδικό']
καθίθετω,['καταθέσω']
αναλυτικός,"['αναλυτικό', 'αναλυτικού', 'αναλυτική']"
βρέπω,['βρω']
πληροφορία,['πληροφορίες']
χρέος,"['χρεών', 'χρέη']"
χρήμα,['χρήματα']
χρωστώ,['χρωστάω']
πληροφορώ,"['πληροφορηθώ', 'πληροφορήσετε']"
γίνομαι,"['γίνει', 'γίνονται']"
πραγματοποιώ,['πραγματοποιήσω']
μιλώ,"['μιλήσω', 'μιλήσει']"
πώληση,"['πωλήσεις', 'πωλήσεων']"
πλήρης,['πλήρη']
κλήση,"['κλήσεών', 'κλήσεων', 'κλήσεις']"
αλλάζω,"['αλλάξω', 'αλλάζει']"
τηλέφωνο,"['τηλέφωνό', 'τηλεφώνου']"
καταχωρώ,"['καταχωρηθεί', 'καταχωρήσω', 'καταχωρήστε']"
απόρρητος,['απόρρητο']
υπηρεσία,"['υπηρεσίας', 'υπηρεσίες']"
ενεργοποιώ,"['ενεργοποιήσετε', 'ενεργοποιηθεί', 'ενεργοποιήσω']"
δεδομένο,"['δεδομένα', 'δεδομένων']"
βρίσκω,['βρήκα']
καλώ,"['καλέσουν', 'καλημέρα', 'καλέσει']"
προγραμματισμός,['προγραμματισμένο']
προσφέρω,['προσφέρει']
μαμαίνω,['μάθω']
συνολικός,['συνολικό']
αποπληρώνω,['αποπληρώσω']
αγοράζω,['αγοράσω']
μήνυμα,"['μηνυμάτων', 'μηνύματα']"
ομιλία,['ομιλίας']
ποσό,['ποσού']
επικοινωνώ,"['επικοινωνήσω', 'επικοινωνήσει']"
βιντέοκληση,['βιντεοκλήσεις']
ενδιέφω,['ενδιέφερε']
δηλώνω,['δηλώσω']
