Utterance,Cluster,lemmatized_queries
πρέπει να έχω πάσο για να βάλω φοιτητικό,6,πρέπει έχω πάσος βάγω φοιτητικός
θα ήθελα να κάνω διακανονισμό σε όλο το ληξιπρόθεσμο,4,κάνω διακανονισμός ληξιπρόθεσμος
θέλω χρόνο για να μιλάω,4,θέλω χρόνος μιλάω
χρειάζομαι ανανέωση,1,χρειάζομαι ανανέωση
τo παραστατικό του σταθερού μου,6,παράστατικός σταθερός
τιμές για νέο tablet,3,τιμή νέος tablet
να ενημερωθώ σχετικά με το διαθέσιμο υπόλοιπό μου,2,ενημερώνω σχετικά διαθέσιμος υπόλοιπος
να κάνω αποπληρωμή λογαριασμού για το κινητό μου,2,κάνω αποπληρωμή λογαριασμός κινητό
έχω κάνει αίτηση για φοιτητικό πακέτο,4,έχω αίτηση φοιτητικός πακέτο
θέλω να απενεργοποιηθεί,4,θέλω απενεργοποιώ
tethering,5,tethering
ραντεβού για νέα σύνδεση,1,ραντέβος νέος σύνδεση
να κάνω παράπονο,6,κάνω παράπονο
θέλω να εξοφλήσω το τηλέφωνό μου,4,θέλω εξοφλώ τήλεφος ό
να εξοφλήσω το κινητό μου,1,εξοφλώ κινητό
λογαριασμός τηλεόρασης,4,λογαριασμός τηλεόραση
θέλω να βάλω πιο εύκολο κωδικό στο hotspot μου,0,θέλω βάγω πιο εύκολος κωδικός hotspot
αγορά tablet,3,αγορά tablet
πώς μπορώ να καταθέσω αίτηση,6,πώς μπορώ καθίθετω αίτηση
τον λογαριασμό της τηλεόρασής μου,4,λογαριασμός τηλεόραση
αναλυτικό λογαριασμό,4,αναλυτικός λογαριασμός
πού μπορώ να βρω πληροφορίες για τα χρέη μου,6,πού μπορώ βρέπω πληροφορία χρέος
πόσα χρήματα χρωστάω συνολικά,4,χρήμα χρωστώ συνολικά
τι χρωστάω,1,τι χρωστώ
έχει να κάνει με διακανονισμό,1,διακανονισμός
μπορώ να με πληροφορηθώ πώς μπορεί να γίνει αίτηση,2,μπορώ πληροφορώ πώς γίνομαι αίτηση
να κάνω απενεργοποίηση,4,κάνω απενεργοποίηση
θα ήθελα να πραγματοποιήσω ανανέωση,6,πραγματοποιώ ανανέωση
πρέπει να μιλήσω με τις πωλήσεις,6,πρέπει μιλώ πώληση
θέλω να δω την πλήρη ανάλυση των κλήσεων,2,θέλω πλήρης ανάλυση κλήση
έχω ένα ραντεβού και θέλω να αλλάξω την ώρα,4,έχω ραντέβος θέλω αλλάζω ώρα
το τηλέφωνό μου έχει καταχωρηθεί ως απόρρητο,2,τηλέφωνο καταχωρώ ως απόρρητος
θέλω να κάνω διακανονισμό,4,θέλω κάνω διακανονισμός
θέλω υπηρεσίες για το σταθερό μου,4,θέλω υπηρεσία σταθερός
θέλω να ενεργοποιήσω πρόγραμμα δεδομένων,2,θέλω ενεργοποιώ πρόγραμμα δεδομένο
βρήκα μια κλήση από αυτό το τηλέφωνο,4,βρίσκω κλήση από τηλέφωνο
να κάνω απόρρητο το τηλέφωνο,4,κάνω απόρρητος τηλέφωνο
έχω καλέσει για ένα προγραμματισμένο ραντεβού,4,έχω καλώ προγραμματισμός ραντέβος
ζητώ να μου ενεργοποιήσετε,1,ζητώ ενεργοποιώ
ενημερώστε με για ανάλυση κλήσεων,4,ενημερώνω ανάλυση κλήση
τι μου προσφέρει το φοιτητικό πακέτο,6,τι προσφέρω φοιτητικός πακέτο
πώς μπορώ να μάθω το συνολικό χρέος μου,6,πώς μπορώ μαμαίνω συνολικός χρέος
θέλω να κάνω αποπληρωμή λογαριασμού,2,θέλω κάνω αποπληρωμή λογαριασμός
θέλω να αποπληρώσω την οφειλή μου,2,θέλω αποπληρώνω οφειλή
από πού μπορώ να μάθω τι χρωστάω,6,από πού μπορώ μαμαίνω τι χρωστώ
θέλω επιδότηση,4,θέλω επιδότηση
επιθυμώ να δω την πλήρη ανάλυση των κλήσεων,2,επιθυμώ πλήρης ανάλυση κλήση
επιθυμώ να καταχωρήσω αίτηση,4,επιθυμώ καταχωρώ αίτηση
πού μπορώ να αγοράσω κάποιο πρόγραμμα μηνυμάτων,6,πού μπορώ αγοράζω πρόγραμμα μήνυμα
αναφορικά με τον λογαριασμό μου,4,αναφορικά λογαριασμός
θα ήθελα να βάλω χρόνο ομιλίας στο κινητό,4,βάγω χρόνος ομιλία κινητό
για μια ανανέωση,1,ανανέωση
διακανονισμός ποσού που χρωστάω,6,διακανονισμός ποσό που χρωστώ
ερώτηση υπόλοιπο,4,ερώτηση υπόλοιπος
έχω ανάγκη από βοήθεια,1,έχω ανάγκη από βοήθεια
να μάθω τι έχετε σχετικά με απόκρυψη,4,μαμαίνω τι σχετικά απόκρυψη
να ενημερωθώ για το υπόλοιπό μου,4,ενημερώνω υπόλοιπος
επιθυμώ να πληροφορηθώ για τη διαδικασία που μπορεί να γίνει ώστε να καταχωρήσω αίτηση,2,επιθυμώ πληροφορώ διαδικασία που γίνομαι ώστε καταχωρώ αίτηση
έχω επικοινωνήσει για ένα ραντεβού,4,έχω επικοινωνώ ραντέβος
να μάθω για τις βιντεοκλήσεις,4,μαμαίνω βιντέοκληση
θα με ενδιέφερε ο αναλυτικός λογαριασμός,4,ενδιέφω ο αναλυτικός λογαριασμός
αναλυτική κατάσταση λογαριασμού,4,αναλυτικός κατάσταση λογαριασμός
χρειάζομαι ενημέρωση,4,χρειάζομαι ενημέρωση
θέλω να μιλήσω με τις πωλήσεις,6,θέλω μιλώ πώληση
θέλω να αγοράσω χρόνο ομιλίας προς όλους,2,θέλω αγοράζω χρόνος ομιλία προς
θα ήθελα να κάνω αίτηση,1,κάνω αίτηση
